image,pbody_id,distance_to_nucleus_um,distance_to_mitochondria_um
W0017F0003T0006Z000C1N22.png,67,0.0,1.0
W0017F0003T0006Z000C1N22.png,68,0.0,1.0
W0017F0003T0006Z000C1N22.png,69,0.0,1.0
W0017F0003T0006Z000C1N22.png,70,0.0,0.0
W0017F0003T0006Z000C1N22.png,71,0.0,1.0
W0017F0003T0006Z000C1N22.png,72,0.4041266050302351,0.9928608265951774
W0017F0003T0006Z000C1N22.png,73,0.0,0.0
W0017F0003T0006Z000C1N22.png,74,0.5,0.5
W0017F0003T0006Z000C1N22.png,75,0.09753196981882617,1.316681592554269
W0017F0003T0006Z000C1N22.png,76,0.0,0.0
W0017F0003T0006Z000C1N22.png,77,0.0,1.0
W0017F0003T0006Z000C1N22.png,78,0.0,0.0
W0017F0003T0006Z000C1N22.png,79,0.0,1.4142135623730951
