group,image,pbody_id,distance_to_nucleus_um,distance_to_mitochondria_um
G1,W0056F0003T0006Z000C1N32.png,2,7.661906010844055,7.661906010844055
G1,W0056F0003T0006Z000C1N32.png,3,2.813185348596064,8.118988887512751
G1,W0056F0003T0006Z000C1N32.png,4,7.407088198473787,7.407088198473787
G1,W0056F0003T0006Z000C1N32.png,5,5.121328715528813,5.121328715528813
G1,W0056F0003T0006Z000C1N32.png,6,6.505076142905631,6.887585072069891
G1,W0056F0003T0006Z000C1N32.png,7,4.820909409512092,11.088731650556594
G1,W0056F0003T0006Z000C1N32.png,8,4.5587774958802765,10.707374511224081
G1,W0056F0003T0006Z000C1N32.png,9,0.3170594170720178,0.3170594170720178
G1,W0056F0003T0006Z000C1N32.png,10,9.301616962926392,9.301616962926392
G1,W0056F0003T0006Z000C1N32.png,11,10.525809054414774,13.757838674733762
G1,W0056F0003T0006Z000C1N32.png,12,11.45372866758354,15.140921694719413
G1,W0056F0003T0006Z000C1N32.png,13,9.999033156385671,9.999033156385671
G1,W0056F0003T0006Z000C1N32.png,14,14.30883725102217,19.733325373449393
G1,W0056F0003T0006Z000C1N33.png,1,0.039634146341463165,0.039634146341463165
G1,W0056F0003T0006Z000C1N33.png,2,0.07341001711105177,0.07341001711105177
G1,W0056F0003T0006Z000C1N33.png,3,9.452149226498701,9.452149226498701
G1,W0056F0003T0006Z000C1N33.png,4,13.218805015436907,13.218805015436907
G1,W0056F0003T0006Z000C1N33.png,5,14.30144257638456,14.30144257638456
G1,W0056F0003T0006Z000C1N27.png,1,0.09375956583850233,0.09375956583850233
G1,W0056F0003T0006Z000C1N27.png,2,1.6025004875194266,1.6025004875194266
G1,W0056F0003T0006Z000C1N27.png,3,8.709238418423048,8.709238418423048
G1,W0056F0003T0006Z000C1N27.png,4,6.283359275169947,6.283359275169947
G1,W0056F0003T0006Z000C1N27.png,5,9.581300962030157,9.581300962030157
G1,W0056F0003T0006Z000C1N27.png,6,16.979266419104846,16.979266419104846
G1,W0056F0003T0006Z000C1N27.png,7,8.986409188508267,8.986409188508267
G1,W0056F0003T0006Z000C1N27.png,8,12.647104720547704,12.647104720547704
G1,W0056F0003T0006Z000C1N27.png,9,13.788145015904083,13.788145015904083
G1,W0056F0002T0006Z000C1N4.png,1,14.219279224420974,
G1,W0056F0002T0006Z000C1N4.png,2,11.906105642169484,
G1,W0056F0002T0006Z000C1N4.png,3,8.070113211721383,
G1,W0056F0002T0006Z000C1N4.png,4,7.222469635871587,
G1,W0056F0002T0006Z000C1N4.png,5,6.619257534837272,
G1,W0056F0002T0006Z000C1N4.png,6,5.412128307098789,
G1,W0056F0002T0006Z000C1N4.png,7,9.532794729103436,
G1,W0056F0002T0006Z000C1N4.png,8,13.254693198531232,
G1,W0056F0002T0006Z000C1N4.png,9,13.974660470076053,
G1,W0056F0002T0006Z000C1N5.png,1,4.024233841094786,6.386852110610711
G1,W0056F0002T0006Z000C1N5.png,2,1.6528857341026333,1.6528857341026333
G1,W0056F0002T0006Z000C1N5.png,3,5.114405553438157,5.114405553438157
G1,W0056F0002T0006Z000C1N5.png,4,0.03804736005040723,0.03804736005040723
G1,W0056F0002T0006Z000C1N5.png,5,8.014170194066367,8.014170194066367
G1,W0056F0002T0006Z000C1N5.png,6,10.64157897705975,10.64157897705975
G1,W0056F0002T0006Z000C1N5.png,7,13.577929746002587,13.577929746002587
G1,W0056F0002T0006Z000C1N5.png,8,14.703556383150984,14.703556383150984
G1,W0056F0002T0006Z000C1N5.png,9,15.93760534278911,15.93760534278911
G1,W0056F0002T0006Z000C1N5.png,10,18.34851360162149,18.34851360162149
G1,W0056F0003T0006Z000C1N34.png,1,9.938156892961166,9.938156892961166
G1,W0056F0003T0006Z000C1N34.png,2,0.016414978848972958,0.016414978848972958
G1,W0056F0003T0006Z000C1N34.png,3,9.56184257223472,9.56184257223472
